profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	bodenart_text	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	gefuege1_anteil	T	U	fS	S	ton	schluff	sand
1	Ap1	15	7.13		30	313	sL		5.16		299	mittel steinig	20	locker	470	Krümel	ja	Fein-mittel	-	100	17	40	11	43	17	44	39
1	Ap2	38	7.3		31	313	SL		2.494		399	stark steinig	30	mittel	450	Subpolyeder	ja	Mittel-grob	-	100	17	41	11	42	17	45	38
1	Ap3	55	7.42		42	313	SL		1.204		399	stark steinig	30	mittel	450	Subpolyeder	-	Mittel-grob	-	100	16	37	11	47	16	41	43
1	C	150	7.75		58	231	lS		0.1548		599	skelettboden	50	dicht	399	Kohärentgefüge	-	-	-	100	6	36	14	58	6	41	53
2	Ap1	55	7.3		68	231	lS		3.9		299	mittel steinig			470	Krümel	ja	Mittel-fein	mäßig		11	43	10	46	11	46	43
2	Ap2	85	7.51		77	231	lS		1.3		399	stark steinig			440	Polyeder	ja	Mittel-grob	schwach		10	44	10	46	10	47	43
2	C	160	7.7		90	231	lS		0.36		599	skelettboden			399	Kohärentgefüge	ja	-	-		5	29	11	66	5	33	62
2	Ab	260	7.54		78	231	lS		1.25		399	stark steinig			450	Subpolyeder	ja	mittel	mäßig		13	49	12	38	13	53	34
3	Y	15	7.41		35				1.17												15	55	10	30			
3	Ap1	30	7.19		11				4.82		199	geringer Grobanteil			450	Subpolyeder	ja	mittel	deutlich		23	48	13	29			
3	Ap2	60	7.39		11				1.94		199	Sehr geringer Grobanteil			420	Prismen	ja	Mittel-grob	deutlich		24	55	11	21			
3	Abb	105	7.46		22				1.05		199	Sehr geringer Grobanteil			420	Prismen	ja	Grob-sehr grob	deutlich		37	52	5	11			
3	Bb	220	7.61		53				0.51		199	Sehr geringer Grobanteil			420	Prismen	ja	Grob-sehr grob	deutlich		29	70	0	1			
4	Ap1	55	7.36		38				2.53		299	Gering-mäßgier Grobanteil			450	Subpolyeder	ja	Fein-mittel	schwach		22	51	12	27			
4	Ap2	75	7.46		39				2.2		299	Gering-mäßgier Grobanteil			450	Subpolyeder	ja	grob	deutlich		22	52	11	26			
4	Bb	160	7.53		22				1.3		399	stark steinig			450	Subpolyeder	ja	Grob-fein	deutlich		29	50	12	21			
4	BC	305	7.85		64				0.34		199	Sehr geringer Grobanteil			420	Prismen	-	grob	schwach		14	69	11	17			
5	Ap1	25	7.37		23				2.48		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-fein	mäßig		25	43	14	32			
5	Ap2	60	7.42		27				2.17		299	mittlerer Grobanteil			440	Polyeder	ja	Mittel-grob	deutlich		23	45	11	32			
5	B1	96	7.46		20				1.65		399	stark steinig			440	Polyeder	-	grob	deutlich		24	42	15	34			
5	B2	130	7.49		28				1.34		399	stark steinig			440	Polyeder	-	grob	deutlich		22	41	13	37			
6	Ap1	16	7.2		26				5.93		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-fein	deutlich		22	41	13	37			
6	Ap2	35	7.22		26				3.44		399	stark steinig			440	Polyeder	ja	grob	deutlich		23	40	13	37			
6	B	75	7.37		28				1.01		499	sehr stark steinig			450	Subpolyeder	ja	mittel	schwach		21	39	13	40			
6	C	135	7.61		57				0.5		499	sehr stark steinig			399	Kohärentgefüge	ja	-	-		11	37	22	52			
7	Ap1	10																									
7	Ap2	32																									
7	B	70																									
7	BC	95																									
7	C	130																									
8	Ap1	20																									
8	Ap2	50																									
8	BC	85																									
8	C	180																									
9	Ap1	30																									
9	Ap2	70																									
9	B	125																									
10	Ap1	32																									
10	Ap2	90																									
10	C	130																									
11	Ap1	20																									
11	B	90																									
11	C																										
12	Ap1	20																									
12	C	80																									
13	Ap1	30																									
13	Ap2	60																									
13	ApC	85																									
13	C	120																									
14	Ap1	25																									
14	Ap2	77																									
14	B	95																									
14	BC	145																									
14	C	170																									
15	Ap1	25																									
15	Ap2	45																									
15	B1	90																									
15	B2	130																									
15	Bct	170																									
16	Ap1	30																									
16	Ap2	65																									
16	2Ck	130																									
17	Ap1	15																									
17	Ap2	60																									
17	B1	110																									
17	B2	150																									
17	BC	170																									
18	Ap1	12																									
18	Ap2	55																									
18	E	115																									
18	Bt1	130																									
18	Bt2	148																									
18	Bct	173																									
18	CB	200																									
19	Ap1	10																									
19	Ap2	72																									
19	Bct	90																									
19	BC	125																									
20	Ap1	20																									
20	Ap2	47																									
20	O	65																									
20	Cg1	75																									
20	Cg2	110																									
21	Ap1	30																									
21	Ap2	60																									
21	Bct	100																									
21	Ct	135																									
22	Ap1	24																									
22	Ap2	60																									
22	Bck	82																									
22	2Ck	115																									
23	Ap1	14																									
23	Ap2	43																									
23	Bt1	80																									
23	Bt2	100																									
23	BC	120																									
23	CB	170																									
24	Ap1	15																									
24	Ap2	50																									
24	Ap3	90																									
24	2B	145																									
25	Ap1	35																									
25	Ap2	63																									
25	E	92																									
25	Bt1	115																									
25	Bt2	140																									
25	CB	145																									
26	Ap1	12																									
26	Ap2	48																									
26	Bct	64																									
26	C	115																									
27	Ap1	20																									
27	Ap2	62																									
27	B	130																									
27	C/B	160																									
28	Ap1	10																									
28	Ap2	25																									
28	Ap3	73																									
28	Bt1	105																									
28	BC	125																									
29	Ap1	17																									
29	Ap2	60																									
29	Ap3	90																									
29	B	130																									
30	Ap1	15																									
30	Ap2	38																									
30	E	65																									
30	2Bt	110																									
