profilnummer	bezeichnung	tiefe	ph_wert	carbonat_wert	bodenart	humus_wert	skelett_klasse	dichte_klasse	gefuege1	gefuege1_anteil	gefuege2	ton	schluff	sand
1	Ap1	15	7.13	30	313	5.16	299	20	470	100		17	44	39
1	Ap2	38	7.3	31	313	2.494	399	30	450	100		17	45	38
1	Ap3	55	7.42	42	313	1.204	399	30	450	100		16	41	43
1	C	150	7.75	58	231	0.1548	599	50	399	100		6	41	53
2	Ap1	55	7.3	68	231	3.9	299	20	470	100		11	46	43
2	Ap2	85	7.51	77	231	1.3	399	30	440	100		10	47	43
2	C	160	7.7	90	231	0.36	599	30	399	100		5	33	62
2	Ab	260	7.54	78	231	1.25	399	30	450	100		13	53	34
3	Ap1	15	7.19	11	313	4.82	199	30	450	100		23	52	25
3	Ap2	45	7.39	11	332	1.94	199	50	420	100		24	59	17
3	Abb	90	7.46	22	403	1.05	199	50	420	100		37	54	9
3	Bb	220	7.61	53	423	0.51	199	50	420	100		29	70	1
4	Ap1	55	7.36	38	332	2.53	299	20	450	100		22	55	23
4	Ap2	75	7.46	39	332	2.2	299	30	450	100		22	56	22
4	Bb	160	7.53	22	403	1.3	399	30	450	100		29	54	17
4	BC	305	7.85	64	212	0.34	199	50	420	100		14	73	13
5	Ap1	25	7.37	23	403	2.48	299	20	450	100		25	48	27
5	Ap2	60	7.42	27	313	2.17	299	30	440	100		23	49	28
5	B1	96	7.46	20	313	1.65	399	50	440	100		24	47	29
5	B2	130	7.49	28	313	1.34	399	50	440	100		22	45	33
6	Ap1	16	7.2	26	313	5.93	299	20	450	100		22	45	33
6	Ap2	35	7.22	26	313	3.44	399	30	440	100		23	44	33
6	B	75	7.37	28	313	1.01	499	30	450	100		21	43	36
6	C	135	7.61	57	231	0.5	499	20	399	100		11	44	45
7	Ap1	10	7.22	19	313	3.96	299	20	450	50	470	23	46	31
7	Ap2	32	7.37	15	403	1.84	299	50	440	100		26	46	28
7	B	70	7.44	34	313	0.82	399	50	440	100		22	45	33
7	BC	95	7.59	46	231	0.77	399	30	440	100		14	47	39
7	C	130	7.75	67	231	0.2	399	20	399	100		9	46	45
8	Ap1	20	7.3	12	313	2.56	299	20	450	100		23	45	32
8	Ap2	50	7.39	16	313	1.93	299	30	450	100		23	45	32
8	BC	85	7.53	24	313	1.24	399	30	450	100		22	48	30
8	C	180	7.7	51	231	0.32	399	20	399	100		10	53	37
9	Ap1	30	7.32	20	313	4.44	199	20	450	100		20	44	36
9	Ap2	70	7.46	23	313	2.27	199	20	450	100		22	50	28
